Scheme Name	Net Asset Value
PGIM India Large and Midcap Fund - Direct Plan - IDCW option	12.24
PGIM India Large and Midcap Fund - Regular Plan - Growth Option	12.43
PGIM India Large and Midcap Fund - Regular Plan - IDCW Option	12.15
quant Large & Mid Cap Fund - Bonus Option - Regular Plan	114.4367
quant Large & Mid Cap Fund - Bonus Option-Direct Plan	114.4367
quant Large & Mid Cap Fund - Growth Option	114.1833
quant Large & Mid Cap Fund - Growth Option-Direct Plan	125.624
quant Large & Mid Cap Fund - IDCW Option - Direct Plan	58.4941
quant Large & Mid Cap Fund - IDCW Option - Regular Plan	69.6972
Samco Large & Mid Cap Fund - Direct Plan - Growth Option	9.22
Samco Large & Mid Cap Fund - Regular Plan - Growth Option	9.15
SBI Large & Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	363.6394
SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	289.5873
SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth	697.6697
SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth	640.9823
Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	33.8714
Sundaram Large and Midcap Fund Direct Plan - Growth	98.1873
Sundaram Large and Midcap Fund Regular Plan - Growth	86.9379
Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	29.3412
Tata Large & MId Cap Fund -Direct Plan- Growth Option	594.3082
Tata Large & Mid Cap Fund Direct Plan - Payout of IDCW Option	116.4422
Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option	83.6445
Tata Large & Mid Cap Fund- Regular Plan - Growth Option	518.9120
Union Large & Midcap Fund - Direct Plan - Growth Option	27.78
Union Large & Midcap Fund - Direct Plan - IDCW Option	27.78
Union Large & Midcap Fund - Regular Plan - Growth Option	25.80
Union Large & Midcap Fund - Regular Plan - IDCW Option	25.80
UTI Large & Mid Cap Fund - Direct Plan - Growth Option	198.9161
UTI Large & Mid Cap Fund - Direct Plan - IDCW	97.7492
UTI Large & Mid Cap Fund - Regular Plan - Growth Option	185.0131
UTI Large & Mid Cap Fund - Regular Plan - IDCW	90.1303
Whiteoak Capital Large & Mid Cap Fund Direct Plan Growth	13.895
Whiteoak Capital Large & Mid Cap Fund Regular Plan Growth	13.458
Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan	602.11
Aditya Birla Sun Life Large Cap Fund-DIRECT - IDCW	96.84
Aditya Birla Sun Life Large Cap Fund-Growth	543.42
Aditya Birla Sun Life Large Cap Fund-Regular - IDCW	40.45
Axis Large Cap Fund - Direct Plan - Growth	71.02
Axis Large Cap Fund - Direct Plan - IDCW	27.75
Axis Large Cap Fund - Regular Plan - Growth	61.53
Axis Large Cap Fund - Regular Plan - IDCW	19.43
BAJAJ FINSERV LARGE CAP FUND - DIRECT PLAN - GROWTH	10.469
BAJAJ FINSERV LARGE CAP FUND - DIRECT PLAN - IDCW	10.469
BAJAJ FINSERV LARGE CAP FUND - REGULAR PLAN - GROWTH	10.266
BAJAJ FINSERV LARGE CAP FUND - REGULAR PLAN - IDCW	10.266
BANDHAN Large Cap Fund - Regular Plan - Growth	79.614
BANDHAN Large Cap Fund - Regular Plan - IDCW	23.413
BANDHAN Large Cap Fund-Direct Plan-Growth	91.862
BANDHAN Large Cap Fund-Direct Plan-IDCW	30.850
BANK OF INDIA Large Cap Fund Direct Plan Growth	17.27
BANK OF INDIA Large Cap Fund Direct Plan IDCW	17.23
BANK OF INDIA Large Cap Fund Regular Plan Growth	16.31
BANK OF INDIA Large Cap Fund Regular Plan IDCW	16.31
BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option	259.9165
BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - IDCW Option	28.8634
BARODA BNP PARIBAS LARGE CAP Fund - Regular Plan - IDCW Option	23.9087
BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option	224.2532
CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION	74.8100
CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	54.5300
CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION	64.4500
CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	29.7700
DSP Large Cap Fund - Direct Plan - Growth	533.553
DSP Large Cap Fund - Direct Plan - IDCW	31.168
DSP Large Cap Fund - Regular Plan - Growth	486.325
DSP Large Cap Fund - Regular Plan - IDCW	27.007
Edelweiss Large Cap Fund - Direct Plan - IDCW Option	40.53
Edelweiss Large Cap Fund - Direct Plan-Growth option	99.52
Edelweiss Large Cap Fund - Plan B - IDCW Option	87.73
Edelweiss Large Cap Fund - Plan C - IDCW Option	69.94
Edelweiss Large Cap Fund - Regular Plan - Growth Option	86.18
Edelweiss Large Cap Fund - Regular Plan - IDCW Option	28.41
Edelweiss Large Cap Fund -Plan B - Growth option	86.7
Edelweiss Large Cap Fund -Plan C - Growth option	85.57
Franklin India Large Cap Fund - Direct - IDCW	57.1571
Franklin India Large Cap Fund - IDCW	49.1081
Franklin India Large Cap Fund- Direct - Growth	1182.3785
Franklin India Large Cap Fund-Growth	1064.8399
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option	53.16
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option	44.09
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	30.79
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Half Yearly -Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	29.89
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	23.74
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	29.66
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	24.84
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Half Yearly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	26.47
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	25.39
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	26.32
HDFC Large Cap Fund - Growth Option - Direct Plan	1266.577
HDFC Large Cap Fund - Growth Option - Regular Plan	1168.262
HDFC Large Cap Fund - IDCW Option - Direct Plan	69.62
HDFC Large Cap Fund - IDCW Option - Regular Plan	58.975
HSBC Large Cap Fund - Direct Growth	543.4903
HSBC Large Cap Fund - Direct IDCW	44.8857
HSBC Large Cap Fund - Regular Growth	487.7571
HSBC Large Cap Fund - Regular IDCW	47.4301
ICICI Prudential Bluechip Fund - Institutional Option - I - Growth	37.59
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Direct Plan - IDCW	66.56
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth	114.74
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - IDCW	33.60
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth	126.28
Invesco India Largecap Fund - Direct Plan - Growth	85.08
Invesco India Largecap Fund - Direct Plan - IDCW (Payout / Reinvestment)	37.7
Invesco India Largecap Fund - Regular Plan - Growth	70.54
Invesco India Largecap Fund - Regular Plan - IDCW (Payout / Reinvestment)	29.3
ITI Large Cap Fund - Direct Plan - Growth Option	19.6825
ITI Large Cap Fund - Direct Plan - IDCW Option	19.6825
ITI Large Cap Fund - Regular Plan - Growth Option	17.7915
ITI Large Cap Fund - Regular Plan - IDCW Option	17.7915
JM Large Cap Fund (Direct) - Annual IDCW	74.436
JM Large Cap Fund (Direct) - Growth Option	180.7059
JM Large Cap Fund (Direct) - Half Yearly IDCW 	73.9157
JM Large Cap Fund (Direct) - IDCW	72.5513
JM Large Cap Fund (Direct) - Monthly IDCW 	73.7615
JM Large Cap Fund (Direct) - Quarterly IDCW	74.4493
JM Large Cap Fund (Regular) - Annual IDCW	31.3288
JM Large Cap Fund (Regular) - Growth Option	156.9405
JM Large Cap Fund (Regular) - Half Yearly IDCW	25.7274
JM Large Cap Fund (Regular) - IDCW 	30.4659
JM Large Cap Fund (Regular) - Monthly IDCW	24.3856
JM Large Cap Fund (Regular) - Quarterly IDCW	35.4171
Kotak Large Cap  Fund - Growth - Direct	680.262
Kotak Large Cap Fund - Growth	588.771
Kotak Large Cap Fund - Payout of Income Distribution cum capital withdrawal option - Direct	89.967
Kotak Large Cap Fund - Payout of Income Distribution cumcapital withdrawal option	76
LIC MF Large Cap Fund-Direct Plan-Growth	64.8172
LIC MF Large Cap Fund-Direct Plan-IDCW	40.8173
LIC MF Large Cap Fund-Regular Plan-Growth	56.7723
LIC MF Large Cap Fund-Regular Plan-IDCW	34.2869
Mahindra Manulife Large Cap Fund - Direct Plan - IDCW	20.2109
Mahindra Manulife Large Cap Fund - Direct Plan -Growth	26.7002
Mahindra Manulife Large Cap Fund - Regular Plan - Growth	23.6413
Mahindra Manulife Large Cap Fund - Regular Plan - IDCW	17.3857
Mirae Asset Large Cap Fund - Direct Plan - Growth	131.951
Mirae Asset Large Cap Fund - Growth Plan	116.608
Mirae Asset Large Cap Fund Direct IDCW	74.685
Mirae Asset Large Cap Fund Regular IDCW	32.393
Motilal Oswal Large Cap Direct Plan Growth	14.4816
Motilal Oswal Large Cap Direct Plan IDCW	13.6758
Motilal Oswal Large Cap Regular Plan Growth	14.1369
Motilal Oswal Large Cap Regular Plan IDCW	13.1941
Nippon India Large Cap  Fund- Growth Plan -Growth Option	93.5076
NIPPON INDIA LARGE CAP FUND - DIRECT Plan - IDCW Option	43.6605
Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option	104.6590
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option	104.6590
NIPPON INDIA LARGE CAP FUND - IDCW Option	28.6109
Nippon India Large Cap Fund- Growth Plan Bonus Option	93.5076
Nippon India Large Cap Fund-Institutional Plan Growth Plan Bonus Option	34.1366
PGIM India Large Cap Fund - BONUS OPTION	22.38
PGIM India Large Cap Fund - Direct Plan - Bonus	24.02
PGIM India Large Cap Fund - Direct Plan - Dividend	29.2
PGIM India Large Cap Fund - Direct Plan - Growth	415.64
PGIM India Large Cap Fund - Dividend	20.32
PGIM India Large Cap Fund - Growth	348.2
PGIM India Large Cap Fund Wealth Plan - Growth Option	34.74
PGIM India Large Cap Fund Wealth Plan -Dividend Option	11.63
quant Large Cap Fund - Growth Option - Direct Plan	16.0239
quant Large Cap Fund - Growth Option - Regular Plan	15.1957
quant Large Cap Fund - IDCW Option - Direct Plan	16.0908
quant Large Cap Fund - IDCW Option - Regular Plan	15.1091
Samco Large Cap Fund - Direct Plan - Growth Option	9.45
Samco Large Cap Fund - Regular Plan - Growth Option	9.33
SBI Large Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	68.7107
SBI Large Cap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	54.2251
SBI Large Cap FUND-DIRECT PLAN -GROWTH	105.8725
SBI Large Cap FUND-REGULAR PLAN GROWTH	95.3184
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip  Fund)  Direct Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	16.9093
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)  Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)	15.6458
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)	16.9093
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	15.6458
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth	23.2891
Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth	21.5832
Tata Large Cap Fund -Direct Plan Growth Option	601.0709
Tata Large Cap Fund -Regular Plan - Growth Option	521.5093
Tata Large Cap Fund- Direct Plan - Payout of IDCW Option	136.5523
Tata Large Cap Fund- Regular Plan - Payout of IDCW Option	113.6319
Taurus Large Cap Fund - Direct Plan - Growth	170.76
Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	75.22
Taurus Large Cap Fund - Regular Plan - Growth	161.29
Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	70.65
Union Largecap Fund - Direct Plan - Growth Option	25.38
Union Largecap Fund - Direct Plan - IDCW Option	25.38
Union Largecap Fund - Regular Plan - Growth Option	23.80
Union Largecap Fund - Regular Plan - IDCW Option	23.80
UTI Large Cap Fund - Direct Plan - Growth Option	309.4277
UTI Large Cap Fund - Direct Plan - IDCW	65.7666
UTI Large Cap Fund - Regular Plan - Growth Option	281.3383
UTI Large Cap Fund - Regular Plan - IDCW	55.4387
WhiteOak Capital Large Cap Fund Direct Plan Growth	16.074
WhiteOak Capital Large Cap Fund Direct Plan IDCW	16.074
WhiteOak Capital Large Cap Fund Regular Plan Growth	15.279
WhiteOak Capital Large Cap Fund Regular Plan IDCW	15.279
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan	883.95
Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW	94.42
Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW	55.15
Aditya Birla Sun Life MIDCAP Fund-Growth	790.85
Axis Midcap Fund - Direct Plan - Growth	130.98
Axis Midcap Fund - Direct Plan - IDCW	55.45
Axis Midcap Fund - Regular Plan - Growth	112.24
Axis Midcap Fund - Regular Plan - IDCW	41.80
BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN	18.209
BANDHAN MIDCAP FUND - GROWTH - REGULAR PLAN	17.283
BANDHAN MIDCAP FUND - IDCW - DIRECT PLAN	18.194
BANDHAN MIDCAP FUND - IDCW - REGULAR PLAN	17.284
Bank of India Mid Cap Fund - Direct Plan Growth	9.65
Bank of India Mid Cap Fund - Direct Plan IDCW	9.65
Bank of India Mid Cap Fund - Regular Plan Growth	9.62
Bank of India Mid Cap Fund - Regular Plan IDCW	9.62
BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option	123.8280
BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - IDCW Option	74.7545
BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - Growth Option	103.4401
BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - IDCW Option	58.7992
Canara Robeco Mid Cap Fund- Direct Plan- Growth Option	17.9400
Canara Robeco Mid Cap Fund- Direct Plan- IDCW	17.4000
Canara Robeco Mid Cap Fund- Regular Plan- Growth Option	17.1900
Canara Robeco Mid Cap Fund- Regular Plan- IDCW	16.6500
DSP Midcap Fund - Direct Plan - Growth	164.955
DSP Midcap Fund - Direct Plan - IDCW	71.589
DSP Midcap Fund - Regular Plan - Growth	147.794
DSP Midcap Fund - Regular Plan - IDCW	30.619
Edelweiss Mid Cap Fund - Direct Plan - Growth Option	120.584
Edelweiss Mid Cap Fund - Direct Plan - IDCW Option	87.927
Edelweiss Mid Cap Fund - Regular Plan - Growth Option	102.758
Edelweiss Mid Cap Fund - Regular Plan - IDCW Option	59.243
Franklin India Mid Cap Fund - Direct - Growth	3116.4539
Franklin India Mid Cap Fund - Direct - IDCW	113.2006
Franklin India Mid Cap Fund - IDCW	93.8190
Franklin India Mid Cap Fund-Growth	2763.3776
HDFC Mid Cap Fund - Growth Option - Direct Plan	221.622
HDFC Mid Cap Fund - Growth Plan	200.734
HDFC Mid Cap Fund - IDCW Option - Direct Plan	83.646
HDFC Mid Cap Fund - IDCW Plan	55.316
Helios Mid Cap Fund - Direct Plan - Growth Option	12.70
Helios Mid Cap Fund - Direct Plan - IDCW Option	12.71
Helios Mid Cap Fund - Regular Plan - Growth Plan	12.56
Helios Mid Cap Fund - Regular Plan - IDCW Option	12.56
HSBC Midcap Fund - Direct Growth	447.8629
HSBC Midcap Fund - Direct IDCW	85.4795
HSBC Midcap Fund - Regular Growth	394.6149
HSBC Midcap Fund - Regular IDCW	74.0782
ICICI Prudential MidCap Fund - Direct Plan -  Growth	344.89
ICICI Prudential MidCap Fund - Direct Plan -  IDCW	63.89
ICICI Prudential MidCap Fund - Growth	306.81
ICICI Prudential MidCap Fund - IDCW	39.76
Invesco India Midcap Fund - Direct Plan - Growth Option	220.93
Invesco India Midcap Fund - Direct Plan - IDCW (Payout / Reinvestment)	82.8
Invesco India Midcap Fund - Regular Plan - Growth Option	182.95
Invesco India Midcap Fund - Regular Plan - IDCW (Payout / Reinvestment)	62.71
ITI Mid Cap Fund - Direct Plan - Growth Option	23.5605
ITI Mid Cap Fund - Direct Plan - IDCW Option	22.5775
ITI Mid Cap Fund - Regular Plan - Growth Option	21.4355
ITI Mid Cap Fund - Regular Plan - IDCW Option	20.4818
JM Midcap Fund (Direct) - Growth	19.8956
JM Midcap Fund (Direct) - IDCW	19.8955
JM Midcap Fund (Regular) - Growth	18.8481
JM Midcap Fund (Regular) - IDCW	18.8481
Kotak Midcap Fund  - Direct Plan - IDCW - Payout & Re-investment of Income Distribution cum capital withdrawal option	93.355
Kotak Midcap Fund - Direct Plan - Growth	156.691
Kotak Midcap Fund - Regular Plan - Growth	134.82
Kotak Midcap Fund - Regular Plan - IDCW -Payout & Re-investment of Income Distribution cum capital withdrawal option	74.047
LIC MF Mid Cap Fund-Direct Plan-Growth	32.2698
LIC MF Mid Cap Fund-Direct Plan-IDCW	30.3193
LIC MF Mid Cap Fund-Regular Plan-Growth	28.739
LIC MF Mid Cap Fund-Regular Plan-IDCW	26.9721
Mahindra Manulife Mid Cap Fund - Direct Plan - IDCW	29.9962
Mahindra Manulife Mid Cap Fund - Direct Plan -Growth	37.5515
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth	32.9977
Mahindra Manulife Mid Cap Fund- Regular Plan - IDCW	25.7357
Mirae Asset Midcap Fund - Regular Plan-Growth Option	37.664
Mirae Asset Midcap Fund Direct IDCW	29.251
Mirae Asset Midcap Fund Regular IDCW	26.760
Mirae Asset Midcap Fund- Direct Growth Option	40.914
Motilal Oswal Midcap Fund-Direct - IDCW Payout/Reinvestment	49.9240
Motilal Oswal Midcap Fund-Direct Plan-Growth Option	113.9338
Motilal Oswal Midcap Fund-Regular - IDCW Payout/Reinvestment	48.1338
Motilal Oswal Midcap Fund-Regular Plan-Growth Option	99.1400
NIPPON INDIA GROWTH FUND - IDCW Option	121.1169
Nippon India Growth Fund-Growth Plan-Bonus Option	694.1532
Nippon India Growth Fund-Growth Plan-Growth Option	4169.8068
NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option	191.6955
Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option	761.3602
Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option	4582.7584
NIPPON INDIA GROWTH MID CAP FUND - INSTITUTIONAL Plan - IDCW Option	1345.6837
PGIM India Midcap Fund - Direct Plan - Dividend Option - Payout	61.09
PGIM India Midcap Fund - Direct Plan - Growth Option	73.71
PGIM India Midcap Fund - Regular Plan - Dividend Option - Payout	24.81
PGIM India Midcap Fund - Regular Plan - Growth Option	63.33
quant Mid Cap Fund - Growth Option - Direct Plan	236.1615
quant Mid Cap Fund - Growth Option - Regular Plan	209.634
quant Mid Cap Fund - IDCW Option - Direct Plan	82.9503
quant Mid Cap Fund - IDCW Option - Regular Plan	74.5256
SBI MIDCAP FUND - DIRECT PLAN - GROWTH	260.1688
SBI Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	147.5028
SBI MIDCAP FUND - REGULAR PLAN - GROWTH	231.3603
SBI Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	94.5371
Sundaram Mid Cap Fund Direct Plan - Growth	1549.3973
Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	72.7555
Sundaram Mid Cap Fund Regular Plan - Growth	1414.3647
Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	65.4669
Tata Mid Cap Fund - Direct Plan- Growth Option	505.6329
Tata Mid Cap Fund - Direct Plan- IDCW Option	166.9035
Tata Mid Cap Fund Regular Plan- Growth Option	442.5467
Tata Mid Cap Fund-Regular Plan - IDCW Option	122.1501
Taurus Mid Cap Fund - Direct Plan - Growth	127.01
Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	112.82
Taurus Mid Cap Fund - Regular Plan - Growth	120.11
Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	107.07
Union Midcap Fund - Direct Plan - Growth Option	51.81
Union Midcap Fund - Direct Plan - IDCW Option	51.81
Union Midcap Fund - Regular Plan - Growth Option	47.88
Union Midcap Fund - Regular Plan - IDCW Option	47.88
UTI Mid Cap Fund - Direct Plan - IDCW	165.0268
UTI Mid Cap Fund - Regular Plan - IDCW	141.962
UTI Mid Cap Fund-Growth Option	299.9985
UTI Mid Cap Fund-Growth Option- Direct	335.3502
WhiteOak Capital Mid Cap Fund Direct Plan Growth	20.939
WhiteOak Capital Mid Cap Fund Direct Plan IDCW	20.939
WhiteOak Capital Mid Cap Fund Regular Plan Growth	19.882
WhiteOak Capital Mid Cap Fund Regular Plan IDCW	19.882
Aditya Birla Sun Life Multi-Cap Fund-Direct Growth	21.02
Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout	18.6
Aditya Birla Sun Life Multi-Cap Fund-Regular Growth	19.72
Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout	17.45
Axis Multicap Fund - Direct Growth	18.81
Axis Multicap Fund - Direct Plan - IDCW	18.81
Axis Multicap Fund - Regular Plan - Growth	17.87
Axis Multicap Fund - Regular Plan - IDCW	17.87
BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH	11.406
BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW	11.406
BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH	11.264
BAJAJ FINSERV MULTI CAP FUND - REGULAR - IDCW	11.264
BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN	18.427
BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN	17.315
BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN	17.328
BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN	16.110
Bank of India Multi Cap Fund Direct Plan - Growth	18.88
Bank of India Multi Cap Fund Direct Plan - IDCW	18.86
Bank of India Multi Cap Fund Regular Plan - Growth	18.32
Bank of India Multi Cap Fund Regular Plan - IDCW	18.32
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option	321.8456
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option	56.4116
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option	285.5692
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option	52.8926
Canara Robeco Multi Cap Fund - Direct Plan - Growth Option	15.2500
Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option	14.3400
Canara Robeco Multi Cap Fund - Regular Plan - Growth Option	14.7300
Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option	13.8500
DSP Multicap Fund - Direct - Growth	12.319
DSP Multicap Fund - Direct - IDCW	12.319
DSP Multicap Fund - Regular - Growth	11.979
DSP Multicap Fund - Regular - IDCW	11.979
Edelweiss Multi Cap Fund - Direct Plan - Growth	15.6388
Edelweiss Multi Cap Fund - Direct Plan - IDCW	15.6388
Edelweiss Multi Cap Fund - Regular Plan - Growth	15.1202
Edelweiss Multi Cap Fund - Regular Plan - IDCW	15.1202
Franklin India Multi Cap Fund - Direct - Growth	10.7050
Franklin India Multi Cap Fund - Direct - IDCW	10.7050
Franklin India Multi Cap Fund - Growth	10.4893
Franklin India Multi Cap Fund - IDCW	10.4893
Groww Multicap Fund - Direct - Growth	10.744
Groww Multicap Fund - Direct - IDCW	10.744
Groww Multicap Fund - Regular - Growth	10.5505
Groww Multicap Fund - Regular - IDCW	10.5493
HDFC Multi Cap Fund - Growth Option	19.07
HDFC Multi Cap Fund - Growth Option - Direct Plan	20.009
HDFC Multi Cap Fund - IDCW Option	18.071
HDFC Multi Cap Fund - IDCW Option - Direct Plan	19.079
HSBC Multi Cap Fund - Direct - Growth	19.4704
HSBC Multi Cap Fund - Direct - IDCW	19.4705
HSBC Multi Cap Fund - Regular - Growth	18.751
HSBC Multi Cap Fund - Regular - IDCW	16.9497
ICICI Prudential Multicap Fund - Direct Plan -  Growth	879.91
ICICI Prudential Multicap Fund - Direct Plan -  IDCW	58.82
ICICI Prudential Multicap Fund - Growth	786.02
ICICI Prudential Multicap Fund - IDCW	31.65
Invesco India Multicap Fund - Direct Plan - Growth Option	151.51
Invesco India Multicap Fund - Direct Plan - IDCW (Payout / Reinvestment)	137.11
Invesco India Multicap Fund - Regular Plan - Growth Option	126.75
Invesco India Multicap Fund - Regular Plan - IDCW (Payout / Reinvestment)	114.93
ITI Multi Cap Fund - Direct Plan - Growth Option	26.8118
ITI Multi Cap Fund - Direct Plan - IDCW Option	24.7079
ITI Multi Cap Fund - Regular Plan - Growth Option	23.5925
ITI Multi Cap Fund - Regular Plan - IDCW Option	21.6273
Kotak Multicap Fund- Regular Plan -IDCW Option	19.777
Kotak Multicap Fund-Direct Plan-Growth	21.022
Kotak Multicap Fund-Direct Plan-IDCW Option	21.021
Kotak Multicap Fund-Regular Plan-Growth	19.778
LIC MF Multi Cap Fund-Direct Plan-Growth	18.0736
LIC MF Multi Cap Fund-Direct Plan-IDCW	18.0736
LIC MF Multi Cap Fund-Regular Plan-Growth	17.1715
LIC MF Multi Cap Fund-Regular Plan-IDCW	17.1715
Mahindra Manulife Multi Cap Fund - Direct Plan - IDCW	31.1567
Mahindra Manulife Multi Cap Fund - Direct Plan -Growth	41.3784
Mahindra Manulife Multi Cap Fund - Regular Plan - Growth	35.4639
Mahindra Manulife Multi Cap Fund - Regular Plan - IDCW	25.7384
Mirae Asset Multicap Fund - Direct Plan - Growth	15.138
Mirae Asset Multicap Fund - Direct Plan - IDCW	15.136
Mirae Asset Multicap Fund - Regular Plan - Growth	14.626
Mirae Asset Multicap Fund - Regular Plan - IDCW	14.615
Motilal Oswal Multi Cap Fund Regular Plan Growth	13.3280
Motilal Oswal Multi Cap Fund Regular Plan IDCW	13.3280
Motilal Oswal Multi Cap Fund-Direct Plan Growth	13.6005
Motilal Oswal Multi Cap Fund-Direct Plan IDCW	13.6005
NIPPON INDIA MULTI CAP FUND - DIRECT Plan - IDCW Option	91.8932
Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option	329.8113
Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option	329.8113
NIPPON INDIA MULTI CAP FUND - IDCW Option	63.5736
Nippon India Multi Cap Fund Institutional Dividend Plan	44.8994
Nippon India Multi Cap Fund Institutional Plan Growth Plan Growth Option	21.9544
Nippon India Multi Cap Fund-Growth Plan-Bonus Option	299.6399
Nippon India Multi Cap Fund-Growth Plan-Growth Option	299.6399
